ID,Player,Team,Location,Position,Salary,Age,GamesPlayed,Minutes,PointsPerGame,FGMade,FGAttempted,ThreesMade,ThreesAttempted,FTMade,FTAttempted,OffRebound,DefRebound,Rebounds,Assists,Steals,Blocks,TurnOvers,Efficiency,Fouls
50,Bruno Fernando,ATL,Atlanta Hawks,Center,1400000,21,63,33.1,4.3,6.6,14.8,3,7.3,4,4.4,0.6,3.5,4.1,2.1,0.5,0.1,2.5,15.9,1.6
51,Bryn Forbes,SAS,San Antonio Spurs,Shooting Guard,2875000,26,65,32.3,13,7.9,14.9,1.1,3.5,3.4,4.1,2.4,7.8,10.2,6.9,1.2,0.7,3.1,28.2,2
52,Buddy Hield,SAC,Sacramento Kings,Shooting Guard,4861208,27,64,32,20.9,7.1,16.6,3.8,9.7,1.8,2,0.9,3.9,4.8,3.1,0.9,0.3,2.3,16.8,2.6
53,Caleb Martin,CHA,Charlotte Hornets,Small Forward,898310,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,Caleb Swanigan,POR,Portland Trail Blazers,Power Forward,2033160,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,Cam Reddish,ATL,Atlanta Hawks,Shooting Guard,4245720,20,52,36.6,8.1,5.9,14.3,2.9,8.3,4.9,5.7,0.6,4.3,4.8,7.7,1.3,0.4,3,21.9,1.8
56,Cameron Johnson,PHX,Phoenix Suns,Small Forward,4033440,24,55,34.9,8.8,7.7,16.9,2.1,5.9,2.2,3.1,1.3,3.6,4.9,6.9,1.7,0.8,2.9,20.7,1.7
57,Caris LeVert,BKN,Brooklyn Nets,Shooting Guard,2625718,25,0,0,16.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.2
58,Carmelo Anthony,POR,Portland Trail Blazers,Power Forward,1364204,36,64,32.5,16.9,7.2,15.7,1,3.6,4,5.5,2.4,7.4,9.7,3.1,0.8,0.3,3,20.5,3.2
59,Carsen Edwards,BOS,Boston Celtics,Point Guard,1228026,22,0,0,4.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1
60,Cedi Osman,CLE,Cleveland Cavaliers,Small Forward,2907143,25,54,32.6,9.8,7.9,16.9,1.5,4.6,2.1,2.7,2.4,8.6,11,3.7,0.9,0.9,1.4,25,2.4
61,Chandler Hutchison,CHI,Chicago Bulls,Small Forward,2332320,24,0,0,7.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3
62,Chandler Parsons,ATL,Atlanta Hawks,Small Forward,25102511,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,Charles Brown Jr.,ATL,Atlanta Hawks,,,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,Chasson Randle,GSW,Golden State Warriors,,,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,Cheick Diallo,PHX,Phoenix Suns,Power Forward,1678854,23,0,0,6.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9
66,Chimezie Metu,SAS,San Antonio Spurs,Power Forward,1416852,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,Chris Boucher,TOR,Toronto Raptors,Power Forward,1588231,27,65,34.5,5.9,7.6,16.1,1.8,5,2.4,2.9,0.8,5.9,6.8,3.2,0.8,0.5,1.5,20,1.5
68,Chris Chiozza,BKN,Brooklyn Nets,,,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
