Location,Hemisphere,Satellite,Source,Operator,Type,Coverage,Remarks,Launch Date,Rocket
105,W,Americom-15,US,SES Americom,Direct Broadcasting,Alaska  CONUS  Hawaii,Hybrid Ku/Ka-band satellite; twin of Americom-16,10/15/2004, Proton-M
104.6,W,GOES-14,,,,,,,
103,W,Americom-1,US,SES Americom,,Canada  Caribbean  CONUS  Mexico,Hybrid C/Ku-band satellite,9/8/1996, Atlas II-A
102.9,W,SPACEWAY-1,US,DirecTV,Direct Broadcasting,,,4/26/2005, Zenit-3SL
102.8,W,DIRECTV-10,,,,,,,
102.8,W,DIRECTV-12,,,,,,,
101.3,W,SkyTerra-1,US,Ligado Networks,Telecommunications,US,,11/14/2010, ILS Proton-M
101.2,W,DirecTV-4S,US,DirecTV,Direct Broadcasting,,48 Ku-band transponders,11/27/2001, Ariane 44LP
101.1,W,DirecTV-9S,US,DirecTV,Direct Broadcasting,,,10/13/2006, Ariane 5 ECA
101,W,AMC-4,US,SES Americom,,Canada  Caribbean  Central America  CONUS  Mexico,Hybrid C/Ku-band satellite,11/13/1999, Ariane 44LP
100.8,W,DirecTV-8,US,DirecTV,Direct Broadcasting,,Hybrid Ku/Ka-band satellite,5/22/2005, Proton
99.2,W,DIRECTV-14,,,,,,,
99.2,W,DIRECTV-11,,,,,,,
99.1,W,SPACEWAY-2,US,,,,,11/16/2005, Ariane 5 ECA
97,W,Galaxy-16,,Intelsat,,,,6/18/2006, Zenit-3SL
98,W,Inmarsat-4 F3[8],UK,Inmarsat,Maritime and Aviation Communications,Canada  Caribbean  CONUS  Mexico,,3/11/2005, Atlas V 431
97,W,Galaxy-19,US,Intelsat,Television and Radio Broadcasting,24 C- and 28 Ku-band transponders (North America),,9/24/2008, Zenit-3SL
96,W,SIRIUS-FM-5,,,,,,,
95.2,W,DIRECTV-15,,,,,,,
95,W,Galaxy 3C,US,,,,,6/15/2002, Zenit-3SL
95,W,INTELSAT-30,,,,,,,
93,W,Galaxy-26,US,,,,,2/15/1999, Proton-K
94.9,W,SPACEWAY-3,,,,,,,
93.1,W,GALAXY-25,,,,,,,
91.1,W,Nimiq 1,Canada,Telesat Canada,Direct Broadcasting,,32 Ku-band transponders,5/20/1999, Proton
91,W,Galaxy 17,US,Intelsat,Television and radio broadcasting,North America,Hybrid C/Ku-band satellite,5/4/2007, Ariane 5 ECA
89,W,Galaxy-28,,Intelsat,,The Americas,Hybrid C/Ku/Ka-band satellite; launched as Telstar 8,6/23/2005, Zenit-3SL
87.2,W,TKSAT-1,,,,,,,
87,W,AMC 3,US,SES Americom,,Canada  Caribbean  CONUS  Mexico,Hybrid C/Ku-band satellite,9/4/1997, Atlas II-A
85.2,W,XM-5,,,,,,,
85.1,W,XM-Rhythm,US,XM Satellite Radio Holdings,Radio Broadcasting,CONUS,,2/28/2005, Zenit-3SL
85,W,Americom-2,US,SES Americom,Direct Broadcasting,Canada  CONUS  Mexico,,1/30/1997, Ariane 44L
85,W,Americom-16,US,SES Americom,Direct Broadcasting,Alaska  CONUS  Hawaii,Hybrid Ku/Ka-band satellite; twin of Americom-15,12/17/2004, Atlas V (521)
84,W,Brasilsat B3,Brazil,,,,,2/4/1998, Ariane 44LP
84,W,Brasilsat B4,,,,,,,
83.8,W,HISPASAT-1C,,,,,,,
83,W,Americom-9,US,SES Americom,Direct Broadcasting,Canada  Caribbean  Central America  CONUS  Mexico,Hybrid C/Ku-band satellite,6/7/2003, Proton
82,W,Nimiq 2,Canada,Telesat Canada,Direct Broadcasting,,Hybrid Ku/Ka-band satellite,12/29/2002, Proton
82,W,Nimiq 3,,Telesat Canada,Direct Broadcasting,,Previously DirecTV-3 for DirecTV,6/9/1995, Ariane 42P
82,W,Nimiq-4,,Telesat Canada,Direct Broadcasting,,,9/19/2008, Proton-M
81,W,ARSAT-2,Argentina,ARSAT,Data  Internet and TV broadcasting.,Ku Band: North America and South America except Brazil  C Band: Americas,,9/30/2015, Ariane 5ECA
80.9,W,SBS-6,US,Intelsat,Television and Radio Broadcasting,,Beyond expected end of life. Serves Argentina now,10/12/1990, Ariane 44L
80.8,W,AMC-2,,,,,,,
