PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,LATITUDE,LONGITUDE
Single Family Residential,Brookstone II,Arlington,TX,76002,344900,3,2,Edgefield,2525,,,,137,,http://www.redfin.com/TX/Arlington/Edgefield/Brookstone-II/home/170031094,NewHomeSource.com,32.607707,-97.091635
Single Family Residential,Trenton,Arlington,TX,76005,317990,2,2,Viridian,1769,,,,180,,http://www.redfin.com/TX/Arlington/Viridian/Trenton/home/170688812,NewHomeSource.com,32.795547,-97.078378
Single Family Residential,Plan 224,Arlington,TX,76005,629990,4,3,Viridian: 60ft. lots,3979,,,,158,,http://www.redfin.com/TX/Arlington/Viridian-60ft-lots/Plan-224/home/170032684,NewHomeSource.com,32.796195,-97.077671
Single Family Residential,Marietta,Arlington,TX,76005,705990,4,3.5,Viridian Island 70' Homesites,4125,,,,171,,http://www.redfin.com/TX/Arlington/Viridian-Island-70-Homesites/Marietta/home/172067495,NewHomeSource.com,32.795238,-97.078523
Single Family Residential,Plan 222,Arlington,TX,76005,625990,4,3,Viridian: 60ft. lots,3610,,,,173,,http://www.redfin.com/TX/Arlington/Viridian-60ft-lots/Plan-222/home/170032685,NewHomeSource.com,32.796195,-97.077671
Single Family Residential,Pineland,Arlington,TX,76005,710990,4,4,Viridian Island 70' Homesites,4168,,,,171,,http://www.redfin.com/TX/Arlington/Viridian-Island-70-Homesites/Pineland/home/172067496,NewHomeSource.com,32.795238,-97.078523
Single Family Residential,Seneca,Arlington,TX,76005,296990,2,2,Viridian,1603,,,,185,,http://www.redfin.com/TX/Arlington/Viridian/Seneca/home/170688814,NewHomeSource.com,32.795547,-97.078378
Single Family Residential,Ashbrook,Arlington,TX,76005,436990,3,2.5,Viridian Executive,2414,,,,181,,http://www.redfin.com/TX/Arlington/Viridian-Executive/Ashbrook/home/169931476,NewHomeSource.com,32.79401,-97.083271
Single Family Residential,Plan 212,Arlington,TX,76005,567990,4,3,Viridian: 60ft. lots,2603,,,,218,,http://www.redfin.com/TX/Arlington/Viridian-60ft-lots/Plan-212/home/170032691,NewHomeSource.com,32.796195,-97.077671
Single Family Residential,Plan 221,Arlington,TX,76005,618990,4,3,Viridian: 60ft. lots,3517,,,,176,,http://www.redfin.com/TX/Arlington/Viridian-60ft-lots/Plan-221/home/170032686,NewHomeSource.com,32.796195,-97.077671
