Year,Country,Location,Latitude,Longitude,Focal Depth (km),Mag,Deaths
1715,TURKEY,"VAN,ERCIS",38.3,43.2,,,
1945,TURKEY,"VAN,BOLGESI",38.5,43.3,,,300
1941,TURKEY,"VAN, ERCIS",39.5,43.3,28,6,430
1891,TURKEY,VAN,38.3,43.2,,,
1111,TURKEY,VAN,38.5,43.4,,,
1646,TURKEY,VAN,38.3,43.2,,,
1648,TURKEY,VAN,38.3,43.2,,,2000
2011,TURKEY,VAN,38.429,43.229,5,5.7,40
2020,TURKEY,VAN,38.558,44.023,10,5.4,
1985,CHILE,"VALPARAISO, VINA DEL MAR",-32.663,-71.551,33,6.6,1
1822,CHILE,"VALPARAISO, QUILLOTA, CONCON,  ACONCAGUA",-33,-72,,8.5,72
1973,CHILE,"VALPARAISO, LA LIGUA, SANTIAGO",-32.5,-71.5,14,6.7,
1730,CHILE,VALPARAISO,-32.5,-71.5,,9.1,2
1765,CHILE,VALPARAISO,-33.05,-71.617,,,
1811,CHILE,VALPARAISO,-33.08,-71.67,,,
1829,CHILE,VALPARAISO,-33.05,-71.63,,7,
1851,CHILE,VALPARAISO,-33.32,-71.42,,7.1,
1855,CHILE,VALPARAISO,-33,-71.7,,,
1871,CHILE,VALPARAISO,-33.1,-71.7,,,
